scene_num,gloss_cat,specular_magnitude,specular_concentration,bump_height,albedo_r,albedo_g,albedo_b,camera_x,camera_z,rot_camera,skybox
scene004917,1,0.324,0.815,019.54,0.322,0.697,0.601,00.83,000.2,-043.7,MuirWoodWhiteBalanced (UnityEngine.Material)
scene004918,1,0.357,0.919,093.45,0.660,0.659,0.490,00.87,000.4,-126.3,MuirWoodWhiteBalanced (UnityEngine.Material)
scene004919,0,0.145,0.236,004.24,0.552,0.523,0.552,04.73,002.8,-115.1,MuirWoodWhiteBalanced (UnityEngine.Material)
scene004920,1,0.436,0.776,012.72,0.520,0.444,0.416,05.63,-003.6,-071.9,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene004921,0,0.162,0.362,099.36,0.324,0.595,0.353,-00.36,-010.0,045.8,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene004922,0,0.159,0.353,048.18,0.333,0.341,0.579,03.41,000.5,-007.9,MuirWoodWhiteBalanced (UnityEngine.Material)
scene004923,0,0.230,0.228,060.18,0.371,0.438,0.694,-06.69,004.4,-150.5,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene004924,1,0.437,0.823,072.01,0.464,0.353,0.514,-07.04,-007.5,087.7,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene004925,1,0.335,0.783,005.25,0.433,0.579,0.312,-07.20,-005.9,007.3,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene004926,1,0.485,0.845,068.90,0.415,0.641,0.486,-01.00,001.0,023.3,MuirWoodWhiteBalanced (UnityEngine.Material)
scene004927,1,0.383,0.836,016.54,0.350,0.333,0.685,-04.54,008.1,009.8,GareoultWhiteBalanced (UnityEngine.Material)
scene004928,0,0.276,0.389,061.79,0.479,0.537,0.391,-02.75,006.1,150.6,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene004929,1,0.326,0.867,067.81,0.530,0.398,0.543,-02.13,-001.6,037.4,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene004930,1,0.460,0.866,033.35,0.631,0.533,0.420,03.76,-002.2,127.3,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene004931,0,0.102,0.301,007.72,0.630,0.410,0.487,-01.42,-001.2,-056.1,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene004932,0,0.157,0.207,096.48,0.565,0.595,0.583,-09.14,-007.6,-137.4,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene004933,1,0.416,0.825,052.68,0.354,0.558,0.338,-04.86,006.4,146.1,UniteWhiteBalanced (UnityEngine.Material)
scene004934,0,0.150,0.237,093.82,0.529,0.546,0.530,08.99,003.3,035.8,GareoultWhiteBalanced (UnityEngine.Material)
scene004935,0,0.271,0.331,085.98,0.620,0.529,0.516,-08.70,-003.0,146.5,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene004936,0,0.155,0.325,017.81,0.351,0.591,0.444,03.83,008.5,-175.1,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene004937,0,0.187,0.282,056.89,0.521,0.409,0.511,-05.86,-008.4,-032.3,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene004938,1,0.368,0.831,005.86,0.442,0.605,0.321,01.30,-005.1,168.5,GareoultWhiteBalanced (UnityEngine.Material)
scene004939,0,0.163,0.225,080.48,0.358,0.648,0.384,-06.23,007.3,-080.0,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene004940,1,0.496,0.811,072.00,0.324,0.607,0.639,-00.27,-000.8,-013.8,MuirWoodWhiteBalanced (UnityEngine.Material)
scene004941,1,0.385,0.880,052.55,0.589,0.373,0.323,04.76,004.7,007.6,GareoultWhiteBalanced (UnityEngine.Material)
scene004942,1,0.438,0.916,025.45,0.576,0.606,0.458,-09.20,-007.8,055.2,UniteWhiteBalanced (UnityEngine.Material)
scene004943,0,0.255,0.332,083.86,0.527,0.545,0.627,-08.22,001.2,-112.9,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene004944,1,0.401,0.863,076.53,0.546,0.651,0.393,05.60,007.3,099.7,MuirWoodWhiteBalanced (UnityEngine.Material)
scene004945,1,0.443,0.792,018.17,0.402,0.506,0.695,-01.80,005.2,032.6,GareoultWhiteBalanced (UnityEngine.Material)
scene004946,1,0.474,0.925,049.16,0.646,0.320,0.502,-07.81,-001.7,093.6,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene004947,0,0.116,0.390,073.17,0.547,0.598,0.321,00.19,-009.4,-131.2,UniteWhiteBalanced (UnityEngine.Material)
scene004948,0,0.128,0.323,052.68,0.479,0.380,0.406,09.22,-007.3,131.8,MuirWoodWhiteBalanced (UnityEngine.Material)
scene004949,1,0.340,0.770,019.03,0.460,0.307,0.496,07.83,000.4,-174.2,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene004950,0,0.195,0.361,011.40,0.372,0.610,0.427,-01.19,-000.4,-029.4,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene004951,0,0.105,0.273,003.98,0.578,0.555,0.393,-01.58,-004.6,139.7,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene004952,1,0.329,0.758,011.38,0.636,0.468,0.697,00.19,001.3,-073.4,UniteWhiteBalanced (UnityEngine.Material)
scene004953,1,0.406,0.861,092.32,0.335,0.572,0.442,03.93,-003.6,143.6,GareoultWhiteBalanced (UnityEngine.Material)
scene004954,0,0.265,0.370,082.49,0.432,0.576,0.361,-02.44,-003.0,160.2,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene004955,1,0.439,0.905,019.83,0.639,0.516,0.530,-09.28,-003.2,-054.1,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene004956,1,0.326,0.755,084.19,0.612,0.384,0.664,-04.29,007.9,019.8,GareoultWhiteBalanced (UnityEngine.Material)
scene004957,0,0.152,0.376,077.99,0.472,0.553,0.451,-09.52,-001.8,066.4,UniteWhiteBalanced (UnityEngine.Material)
scene004958,0,0.267,0.367,072.67,0.682,0.598,0.366,09.95,008.1,141.1,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene004959,0,0.129,0.284,038.92,0.457,0.641,0.561,03.00,007.8,-067.3,UniteWhiteBalanced (UnityEngine.Material)
scene004960,0,0.127,0.222,091.09,0.628,0.492,0.548,-01.44,006.6,020.3,GareoultWhiteBalanced (UnityEngine.Material)
scene004961,1,0.307,0.879,061.91,0.327,0.375,0.589,07.99,003.7,-130.8,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene004962,0,0.129,0.322,027.44,0.409,0.402,0.649,-03.46,000.9,-135.6,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene004963,0,0.215,0.307,051.83,0.585,0.681,0.463,03.25,005.8,137.2,UniteWhiteBalanced (UnityEngine.Material)
scene004964,1,0.311,0.787,095.02,0.494,0.575,0.308,-09.48,009.3,159.9,GareoultWhiteBalanced (UnityEngine.Material)
scene004965,1,0.334,0.878,086.96,0.403,0.455,0.598,02.05,-003.5,-080.4,UniteWhiteBalanced (UnityEngine.Material)
scene004966,1,0.497,0.796,045.81,0.602,0.655,0.324,-00.72,004.3,-108.9,MuirWoodWhiteBalanced (UnityEngine.Material)
scene004967,1,0.383,0.768,032.52,0.479,0.419,0.487,-05.96,002.5,-018.8,UniteWhiteBalanced (UnityEngine.Material)
scene004968,1,0.435,0.863,072.17,0.338,0.338,0.371,-04.04,004.2,071.6,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene004969,0,0.273,0.306,045.95,0.334,0.473,0.363,-00.97,-003.3,129.2,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene004970,0,0.271,0.358,046.04,0.684,0.570,0.415,01.41,008.3,156.5,UniteWhiteBalanced (UnityEngine.Material)
scene004971,1,0.494,0.872,016.39,0.367,0.537,0.454,01.38,-009.4,-158.1,UniteWhiteBalanced (UnityEngine.Material)
scene004972,0,0.168,0.382,041.06,0.659,0.541,0.696,08.09,-004.5,074.3,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene004973,1,0.328,0.902,025.81,0.622,0.345,0.389,09.55,006.7,116.2,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene004974,0,0.249,0.227,043.75,0.573,0.573,0.520,-08.01,005.2,-082.6,MuirWoodWhiteBalanced (UnityEngine.Material)
scene004975,0,0.107,0.333,011.73,0.358,0.421,0.545,-00.82,006.1,-105.7,UniteWhiteBalanced (UnityEngine.Material)
scene004976,0,0.256,0.254,082.55,0.426,0.351,0.363,09.60,-004.7,115.5,UniteWhiteBalanced (UnityEngine.Material)
scene004977,1,0.406,0.947,049.61,0.307,0.570,0.657,04.57,-007.0,102.1,GareoultWhiteBalanced (UnityEngine.Material)
scene004978,0,0.271,0.323,053.66,0.313,0.631,0.354,-07.63,-002.3,-023.3,UniteWhiteBalanced (UnityEngine.Material)
scene004979,0,0.127,0.290,099.60,0.656,0.639,0.381,07.76,008.2,-124.5,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene004980,0,0.179,0.270,024.67,0.662,0.549,0.454,-08.45,-007.3,168.3,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene004981,1,0.326,0.900,051.15,0.439,0.595,0.311,-05.46,-004.7,035.1,UniteWhiteBalanced (UnityEngine.Material)
scene004982,1,0.430,0.906,088.03,0.582,0.309,0.457,04.56,008.4,107.4,MuirWoodWhiteBalanced (UnityEngine.Material)
scene004983,1,0.412,0.826,086.81,0.590,0.382,0.648,09.26,007.9,-023.1,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene004984,1,0.423,0.897,016.77,0.509,0.369,0.574,-07.37,002.2,116.8,UniteWhiteBalanced (UnityEngine.Material)
scene004985,1,0.367,0.947,068.69,0.416,0.340,0.636,-03.97,004.5,012.0,MuirWoodWhiteBalanced (UnityEngine.Material)
scene004986,0,0.113,0.242,077.50,0.560,0.446,0.659,-03.47,-008.3,-146.3,MuirWoodWhiteBalanced (UnityEngine.Material)
scene004987,0,0.268,0.370,092.17,0.614,0.360,0.367,07.47,-003.2,-094.3,UniteWhiteBalanced (UnityEngine.Material)
scene004988,0,0.236,0.395,049.79,0.303,0.540,0.439,04.97,-004.0,162.5,GareoultWhiteBalanced (UnityEngine.Material)
scene004989,1,0.464,0.757,040.97,0.683,0.367,0.599,-07.58,-004.9,-001.1,MuirWoodWhiteBalanced (UnityEngine.Material)
scene004990,0,0.116,0.300,050.62,0.459,0.368,0.576,-03.15,-005.7,117.2,MuirWoodWhiteBalanced (UnityEngine.Material)
scene004991,1,0.397,0.798,084.44,0.569,0.449,0.336,-01.60,007.7,113.6,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene004992,0,0.274,0.358,020.10,0.538,0.683,0.694,-08.33,-007.9,-168.3,UniteWhiteBalanced (UnityEngine.Material)
scene004993,1,0.457,0.878,062.59,0.624,0.552,0.666,01.82,007.2,029.6,UniteWhiteBalanced (UnityEngine.Material)
scene004994,1,0.376,0.779,029.00,0.492,0.363,0.683,-10.00,-007.2,-154.8,GareoultWhiteBalanced (UnityEngine.Material)
scene004995,1,0.404,0.853,024.34,0.517,0.500,0.490,-06.73,-005.2,-157.1,GareoultWhiteBalanced (UnityEngine.Material)
scene004996,1,0.409,0.790,076.99,0.476,0.309,0.460,04.85,-006.9,-031.4,GareoultWhiteBalanced (UnityEngine.Material)
scene004997,0,0.167,0.376,062.78,0.509,0.304,0.450,-02.67,000.7,-001.5,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene004998,0,0.299,0.205,055.29,0.366,0.473,0.699,02.49,007.4,-166.2,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene004999,1,0.487,0.907,083.05,0.331,0.564,0.508,02.02,-002.5,082.6,UniteWhiteBalanced (UnityEngine.Material)
scene005000,1,0.403,0.921,006.62,0.689,0.623,0.356,-00.52,009.7,160.6,GareoultWhiteBalanced (UnityEngine.Material)
scene005001,0,0.179,0.314,046.86,0.472,0.662,0.359,06.87,002.2,021.0,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005002,0,0.148,0.307,006.97,0.399,0.647,0.392,04.64,-003.5,-100.5,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005003,0,0.170,0.291,077.38,0.426,0.302,0.401,-08.56,-010.0,-074.7,GareoultWhiteBalanced (UnityEngine.Material)
scene005004,1,0.318,0.758,011.44,0.566,0.356,0.567,01.93,-009.7,154.0,UniteWhiteBalanced (UnityEngine.Material)
scene005005,0,0.257,0.340,065.20,0.398,0.602,0.699,02.25,000.6,-004.8,UniteWhiteBalanced (UnityEngine.Material)
scene005006,0,0.276,0.373,008.59,0.468,0.688,0.532,-04.72,003.0,020.0,GareoultWhiteBalanced (UnityEngine.Material)
scene005007,0,0.173,0.262,075.92,0.621,0.612,0.453,-02.59,-003.2,-055.8,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005008,0,0.151,0.307,078.46,0.350,0.492,0.603,05.96,000.2,-102.9,GareoultWhiteBalanced (UnityEngine.Material)
scene005009,0,0.199,0.298,026.36,0.560,0.644,0.373,-02.75,-003.7,-093.6,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005010,1,0.373,0.829,043.37,0.574,0.698,0.381,-03.85,-008.6,046.8,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005011,1,0.488,0.839,072.45,0.390,0.453,0.402,05.35,007.8,-170.8,MuirWoodWhiteBalanced (UnityEngine.Material)
scene005012,0,0.218,0.338,028.02,0.319,0.364,0.586,03.15,005.3,-004.2,UniteWhiteBalanced (UnityEngine.Material)
scene005013,1,0.309,0.786,010.67,0.370,0.622,0.599,06.46,-005.2,056.9,GareoultWhiteBalanced (UnityEngine.Material)
scene005014,0,0.112,0.207,087.41,0.633,0.637,0.400,00.74,001.8,-014.8,MuirWoodWhiteBalanced (UnityEngine.Material)
scene005015,1,0.452,0.894,038.14,0.348,0.562,0.675,-01.83,009.8,-013.8,GareoultWhiteBalanced (UnityEngine.Material)
scene005016,0,0.284,0.203,014.86,0.369,0.355,0.414,07.38,-005.9,172.5,UniteWhiteBalanced (UnityEngine.Material)
scene005017,0,0.216,0.255,011.68,0.335,0.639,0.658,01.66,-005.6,006.8,UniteWhiteBalanced (UnityEngine.Material)
scene005018,1,0.489,0.910,099.75,0.649,0.521,0.656,-01.71,-005.1,-091.7,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005019,1,0.484,0.758,010.44,0.649,0.597,0.657,-01.40,008.0,114.6,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene005020,1,0.315,0.778,036.39,0.395,0.483,0.356,03.98,-007.4,163.5,MuirWoodWhiteBalanced (UnityEngine.Material)
scene005021,0,0.284,0.315,082.52,0.524,0.542,0.423,06.82,003.0,-045.4,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005022,1,0.410,0.895,055.46,0.322,0.336,0.380,09.51,-005.8,124.9,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005023,0,0.216,0.398,028.29,0.350,0.312,0.403,-03.94,002.3,-005.1,UniteWhiteBalanced (UnityEngine.Material)
scene005024,0,0.167,0.332,070.46,0.309,0.670,0.592,03.70,000.0,025.3,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005025,0,0.214,0.304,098.39,0.589,0.331,0.682,-08.08,-004.8,007.7,GareoultWhiteBalanced (UnityEngine.Material)
scene005026,1,0.409,0.810,030.15,0.315,0.535,0.510,-01.97,004.9,-037.8,UniteWhiteBalanced (UnityEngine.Material)
scene005027,1,0.426,0.902,068.59,0.578,0.392,0.382,09.23,-009.8,-079.5,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005028,0,0.137,0.207,095.43,0.491,0.475,0.497,04.05,008.3,155.0,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene005029,1,0.350,0.924,057.84,0.626,0.302,0.692,07.83,004.5,-152.9,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005030,0,0.227,0.249,083.71,0.438,0.555,0.570,07.17,002.6,-116.0,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005031,0,0.290,0.213,014.85,0.694,0.609,0.541,-07.26,-007.6,-021.6,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005032,0,0.148,0.235,056.42,0.610,0.330,0.425,07.15,-008.9,-119.7,UniteWhiteBalanced (UnityEngine.Material)
scene005033,1,0.492,0.911,067.43,0.351,0.613,0.400,-04.16,008.9,-043.8,GareoultWhiteBalanced (UnityEngine.Material)
scene005034,1,0.381,0.912,072.60,0.456,0.694,0.600,08.33,-009.5,012.5,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005035,0,0.240,0.262,033.02,0.480,0.607,0.593,-01.38,-007.5,-069.7,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005036,1,0.488,0.766,038.28,0.426,0.626,0.460,-00.29,008.1,049.4,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene005037,1,0.477,0.924,014.83,0.648,0.499,0.645,01.11,-004.5,-094.1,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005038,1,0.416,0.816,094.50,0.345,0.547,0.538,04.47,-001.6,-080.9,UniteWhiteBalanced (UnityEngine.Material)
scene005039,0,0.163,0.325,042.31,0.435,0.613,0.597,-09.23,-002.5,101.0,GareoultWhiteBalanced (UnityEngine.Material)
scene005040,0,0.213,0.317,041.30,0.425,0.362,0.366,08.42,-004.8,035.7,MuirWoodWhiteBalanced (UnityEngine.Material)
scene005041,0,0.171,0.363,070.79,0.423,0.360,0.624,00.62,-006.3,130.2,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene005042,0,0.127,0.222,044.05,0.476,0.335,0.301,-09.62,008.7,046.2,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005043,0,0.151,0.233,066.44,0.658,0.555,0.556,09.96,005.1,134.1,UniteWhiteBalanced (UnityEngine.Material)
scene005044,1,0.409,0.888,087.18,0.531,0.400,0.544,-06.88,000.8,105.3,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene005045,1,0.307,0.805,062.79,0.578,0.516,0.631,04.17,-001.4,-061.1,UniteWhiteBalanced (UnityEngine.Material)
scene005046,1,0.414,0.870,055.75,0.318,0.532,0.622,03.32,002.4,-022.7,UniteWhiteBalanced (UnityEngine.Material)
scene005047,1,0.326,0.914,068.83,0.339,0.575,0.557,02.79,008.1,058.6,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005048,1,0.474,0.939,064.01,0.418,0.525,0.663,-01.94,-003.6,-054.8,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005049,0,0.284,0.200,088.91,0.645,0.657,0.514,-03.65,006.7,-159.1,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005050,1,0.335,0.775,055.53,0.512,0.648,0.441,01.03,008.1,-139.4,MuirWoodWhiteBalanced (UnityEngine.Material)
scene005051,0,0.119,0.361,034.85,0.661,0.377,0.523,-00.91,-001.9,-014.9,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005052,1,0.343,0.919,076.07,0.348,0.342,0.512,03.29,009.0,-165.0,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005053,0,0.205,0.218,089.01,0.325,0.452,0.374,-08.74,003.1,122.4,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005054,0,0.223,0.205,080.07,0.531,0.654,0.665,05.58,000.7,074.6,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005055,0,0.144,0.381,022.49,0.350,0.422,0.590,01.85,003.4,-002.2,MuirWoodWhiteBalanced (UnityEngine.Material)
scene005056,0,0.117,0.400,095.07,0.647,0.623,0.603,-00.32,-000.1,023.4,UniteWhiteBalanced (UnityEngine.Material)
scene005057,0,0.209,0.377,044.32,0.454,0.356,0.578,07.19,-005.5,058.3,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005058,1,0.455,0.766,025.13,0.433,0.698,0.546,-08.10,009.7,-079.8,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005059,1,0.326,0.902,019.89,0.653,0.482,0.689,00.39,-001.6,086.8,MuirWoodWhiteBalanced (UnityEngine.Material)
scene005060,1,0.426,0.766,077.50,0.397,0.533,0.519,08.55,-003.6,-133.7,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene005061,0,0.155,0.248,061.89,0.366,0.656,0.439,-09.33,007.5,-164.5,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005062,1,0.308,0.819,009.92,0.626,0.497,0.353,-09.55,002.2,-028.6,UniteWhiteBalanced (UnityEngine.Material)
scene005063,1,0.464,0.775,065.43,0.518,0.350,0.434,09.91,006.4,-007.4,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005064,0,0.232,0.267,009.82,0.390,0.606,0.411,03.45,-004.2,-170.0,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005065,1,0.421,0.922,064.76,0.665,0.546,0.519,-08.63,-003.3,-016.4,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005066,0,0.200,0.346,076.99,0.595,0.448,0.695,-02.69,-006.9,-172.9,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005067,0,0.193,0.384,016.22,0.691,0.665,0.440,-03.10,004.3,177.0,MuirWoodWhiteBalanced (UnityEngine.Material)
scene005068,1,0.417,0.910,058.50,0.349,0.378,0.415,03.50,002.6,041.4,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005069,0,0.112,0.292,090.04,0.445,0.483,0.305,08.03,-006.0,-175.9,UniteWhiteBalanced (UnityEngine.Material)
scene005070,1,0.421,0.774,005.71,0.303,0.532,0.624,-01.74,-000.1,-083.3,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005071,1,0.398,0.758,009.23,0.400,0.551,0.606,07.44,004.7,-139.9,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005072,1,0.448,0.868,053.22,0.504,0.511,0.537,-05.58,001.1,-033.4,GareoultWhiteBalanced (UnityEngine.Material)
scene005073,0,0.229,0.245,018.76,0.424,0.685,0.345,-04.87,004.0,-135.9,GareoultWhiteBalanced (UnityEngine.Material)
scene005074,0,0.242,0.266,022.91,0.550,0.496,0.682,04.89,-000.2,-051.2,GareoultWhiteBalanced (UnityEngine.Material)
scene005075,1,0.342,0.853,029.07,0.585,0.609,0.606,06.57,-006.8,-136.0,GareoultWhiteBalanced (UnityEngine.Material)
scene005076,0,0.123,0.214,062.46,0.599,0.633,0.322,-06.15,000.3,030.5,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005077,1,0.446,0.891,009.18,0.554,0.542,0.588,-08.69,003.1,-087.0,GareoultWhiteBalanced (UnityEngine.Material)
scene005078,0,0.127,0.281,045.22,0.368,0.517,0.349,01.29,004.4,064.4,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene005079,0,0.300,0.394,083.41,0.642,0.319,0.673,03.54,000.3,168.4,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005080,1,0.438,0.902,005.95,0.559,0.425,0.389,05.69,001.2,-056.1,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005081,1,0.340,0.769,042.67,0.446,0.313,0.325,07.37,009.4,068.8,MuirWoodWhiteBalanced (UnityEngine.Material)
scene005082,0,0.151,0.203,021.86,0.475,0.444,0.492,-01.96,006.6,127.0,MuirWoodWhiteBalanced (UnityEngine.Material)
scene005083,0,0.107,0.295,038.93,0.611,0.444,0.581,-07.14,006.7,-046.0,UniteWhiteBalanced (UnityEngine.Material)
scene005084,1,0.485,0.778,024.17,0.689,0.694,0.556,05.67,001.8,078.8,UniteWhiteBalanced (UnityEngine.Material)
scene005085,1,0.329,0.758,096.68,0.510,0.330,0.670,04.05,005.8,010.9,UniteWhiteBalanced (UnityEngine.Material)
scene005086,0,0.240,0.232,093.55,0.346,0.530,0.650,06.53,-009.0,-057.2,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005087,1,0.315,0.787,008.14,0.535,0.345,0.524,-06.41,-001.1,-021.1,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005088,0,0.107,0.297,042.17,0.438,0.320,0.328,-09.60,-000.6,091.5,GareoultWhiteBalanced (UnityEngine.Material)
scene005089,1,0.332,0.919,062.05,0.662,0.594,0.583,06.72,005.1,-041.0,GareoultWhiteBalanced (UnityEngine.Material)
scene005090,0,0.277,0.225,008.13,0.495,0.665,0.679,00.77,008.8,-035.0,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene005091,1,0.467,0.781,062.80,0.556,0.435,0.561,07.67,007.0,048.5,TrinitatisChurchWhiteBalanced (UnityEngine.Material)
scene005092,0,0.148,0.230,057.64,0.565,0.315,0.630,00.07,-002.9,-060.5,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005093,0,0.110,0.312,048.23,0.374,0.472,0.609,07.80,006.2,084.4,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005094,0,0.176,0.241,054.91,0.605,0.479,0.321,-05.69,007.0,179.5,MuirWoodWhiteBalanced (UnityEngine.Material)
scene005095,0,0.224,0.311,054.13,0.573,0.673,0.625,-01.39,-001.5,159.1,UniteWhiteBalanced (UnityEngine.Material)
scene005096,1,0.425,0.850,057.34,0.474,0.383,0.494,05.19,003.0,-058.9,UniteWhiteBalanced (UnityEngine.Material)
scene005097,0,0.278,0.228,045.12,0.501,0.481,0.601,09.38,-006.2,-157.3,UniteWhiteBalanced (UnityEngine.Material)
scene005098,1,0.418,0.761,066.39,0.621,0.485,0.607,05.96,006.4,078.8,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005099,1,0.408,0.944,070.12,0.379,0.680,0.552,01.84,-006.1,149.9,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005100,0,0.120,0.283,015.72,0.317,0.695,0.395,-08.41,-001.8,169.9,GareoultWhiteBalanced (UnityEngine.Material)
scene005101,0,0.284,0.274,028.24,0.526,0.341,0.622,05.37,003.3,-173.3,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005102,1,0.483,0.825,081.51,0.627,0.334,0.352,02.01,001.7,-100.1,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005103,1,0.314,0.753,056.18,0.334,0.471,0.594,06.28,002.4,004.4,UniteWhiteBalanced (UnityEngine.Material)
scene005104,0,0.120,0.260,047.23,0.678,0.329,0.311,-04.44,-008.9,-106.9,TreasureIslandWhiteBalancedNoSun (UnityEngine.Material)
scene005105,0,0.256,0.312,012.98,0.384,0.659,0.359,-06.60,008.7,-154.4,UniteWhiteBalanced (UnityEngine.Material)
scene005106,1,0.366,0.844,033.25,0.590,0.642,0.442,-00.71,-008.2,071.4,MuirWoodWhiteBalanced (UnityEngine.Material)
scene005107,1,0.329,0.775,084.79,0.571,0.518,0.448,-06.08,004.8,-108.9,UniteWhiteBalanced (UnityEngine.Material)
scene005108,1,0.380,0.936,060.78,0.693,0.432,0.651,04.68,-006.7,-104.3,UniteWhiteBalanced (UnityEngine.Material)
scene005109,0,0.105,0.254,040.86,0.572,0.535,0.499,-07.91,009.2,-134.8,MuirWoodWhiteBalanced (UnityEngine.Material)
scene005110,1,0.432,0.912,005.22,0.604,0.677,0.442,-00.47,-009.3,028.8,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005111,0,0.221,0.236,092.28,0.354,0.583,0.534,-08.22,003.5,150.6,KirbyCoveWhiteBalanced (UnityEngine.Material)
scene005112,0,0.249,0.377,077.51,0.485,0.425,0.359,-06.03,008.1,-058.7,UniteWhiteBalanced (UnityEngine.Material)
